Date, Open, High, Low, Close
10/06/20, 3408.74, 3431.56, 3354.54, 3360.95
10/05/20, 3367.27, 3409.57, 3367.27, 3408.63
10/02/20, 3338.94, 3369.10, 3323.69, 3348.44
10/01/20, 3385.87, 3397.18, 3361.39, 3380.80
09/30/20, 3341.21, 3393.56, 3340.47, 3363.00
09/29/20, 3350.92, 3357.92, 3327.54, 3335.47
09/28/20, 3333.90, 3360.74, 3332.91, 3351.60
09/25/20, 3236.66, 3306.88, 3228.44, 3298.46
09/24/20, 3226.14, 3278.70, 3209.45, 3246.59
09/23/20, 3320.11, 3323.35, 3232.57, 3236.92
09/22/20, 3295.75, 3320.31, 3270.95, 3315.57
09/21/20, 3285.57, 3285.57, 3229.10, 3281.06
09/18/20, 3357.38, 3362.27, 3292.40, 3319.47
09/17/20, 3346.86, 3375.17, 3328.82, 3357.01
09/16/20, 3411.23, 3428.92, 3384.45, 3385.49
09/15/20, 3407.73, 3419.48, 3389.25, 3401.20
09/14/20, 3363.56, 3402.93, 3363.56, 3383.54
09/11/20, 3352.70, 3368.95, 3310.47, 3340.97
09/10/20, 3412.56, 3425.55, 3329.25, 3339.19
09/09/20, 3369.82, 3424.77, 3366.84, 3398.96
09/08/20, 3371.88, 3379.97, 3329.27, 3331.84
09/04/20, 3453.60, 3479.15, 3349.63, 3426.96
09/03/20, 3564.74, 3564.85, 3427.41, 3455.06
09/02/20, 3543.76, 3588.11, 3535.23, 3580.84
09/01/20, 3507.44, 3528.03, 3494.60, 3526.65
08/31/20, 3509.73, 3514.77, 3493.25, 3500.31
08/28/20, 3494.69, 3509.23, 3484.32, 3508.01
08/27/20, 3485.14, 3501.38, 3468.35, 3484.55
08/26/20, 3449.97, 3481.07, 3444.15, 3478.73
08/25/20, 3435.95, 3444.21, 3425.84, 3443.62
08/24/20, 3418.09, 3432.09, 3413.13, 3431.28
08/21/20, 3386.01, 3399.96, 3379.31, 3397.16
08/20/20, 3360.48, 3390.80, 3354.69, 3385.51
08/19/20, 3392.51, 3399.54, 3369.66, 3374.85
08/18/20, 3387.04, 3395.06, 3370.15, 3389.78
08/17/20, 3380.86, 3387.59, 3379.22, 3381.99
08/14/20, 3368.66, 3378.51, 3361.64, 3372.85
08/13/20, 3372.95, 3387.24, 3363.35, 3373.43
08/12/20, 3355.46, 3387.89, 3355.46, 3380.35
08/11/20, 3370.34, 3381.01, 3326.44, 3333.69
08/10/20, 3356.04, 3363.29, 3335.44, 3360.47
08/07/20, 3340.05, 3352.54, 3328.72, 3351.28
08/06/20, 3323.17, 3351.03, 3318.14, 3349.16
08/05/20, 3317.37, 3330.77, 3317.37, 3327.77
08/04/20, 3289.92, 3306.84, 3286.37, 3306.51
08/03/20, 3288.26, 3302.73, 3284.53, 3294.61
07/31/20, 3270.45, 3272.17, 3220.26, 3271.12
07/30/20, 3231.76, 3250.92, 3204.13, 3246.22
07/29/20, 3227.22, 3264.74, 3227.22, 3258.44
07/28/20, 3234.27, 3243.72, 3216.17, 3218.44
07/27/20, 3219.84, 3241.43, 3214.25, 3239.41
07/24/20, 3218.58, 3227.26, 3200.05, 3215.63
07/23/20, 3271.64, 3279.99, 3222.66, 3235.66
07/22/20, 3254.86, 3279.32, 3253.10, 3276.02
07/21/20, 3268.52, 3277.29, 3247.77, 3257.30
07/20/20, 3224.29, 3258.61, 3215.16, 3251.84
07/17/20, 3224.21, 3233.52, 3205.65, 3224.73
07/16/20, 3208.36, 3220.39, 3198.59, 3215.57
07/15/20, 3225.98, 3238.28, 3200.76, 3226.56
07/14/20, 3141.11, 3200.95, 3127.66, 3197.52
07/13/20, 3205.08, 3235.32, 3149.43, 3155.22
07/10/20, 3152.47, 3186.82, 3136.22, 3185.04
07/09/20, 3176.17, 3179.78, 3115.70, 3152.05
07/08/20, 3153.07, 3171.80, 3136.53, 3169.94
07/07/20, 3166.44, 3184.15, 3142.93, 3145.32
07/06/20, 3155.29, 3182.59, 3155.29, 3179.72
07/02/20, 3143.64, 3165.81, 3124.52, 3130.01
07/01/20, 3105.92, 3128.44, 3101.17, 3115.86
06/30/20, 3050.20, 3111.51, 3047.83, 3100.29
06/29/20, 3018.59, 3053.89, 2999.74, 3053.24
06/26/20, 3073.20, 3073.73, 3004.63, 3009.05
06/25/20, 3046.60, 3086.25, 3024.01, 3083.76
06/24/20, 3114.40, 3115.01, 3032.13, 3050.33
06/23/20, 3138.70, 3154.90, 3127.12, 3131.29
06/22/20, 3094.42, 3120.92, 3079.39, 3117.86
06/19/20, 3140.29, 3155.53, 3083.11, 3097.74
06/18/20, 3101.64, 3120.00, 3093.51, 3115.34
06/17/20, 3136.13, 3141.16, 3108.03, 3113.49
06/16/20, 3131.00, 3153.45, 3076.06, 3124.74
06/15/20, 2993.76, 3079.76, 2965.66, 3066.59
06/12/20, 3071.04, 3088.42, 2984.47, 3041.31
06/11/20, 3123.53, 3123.53, 2999.49, 3002.10
06/10/20, 3213.42, 3223.27, 3181.49, 3190.14
06/09/20, 3213.32, 3222.71, 3193.11, 3207.18
06/08/20, 3199.92, 3233.13, 3196.00, 3232.39
06/05/20, 3163.84, 3211.72, 3163.84, 3193.93
06/04/20, 3111.56, 3128.91, 3090.41, 3112.35
06/03/20, 3098.90, 3130.94, 3098.90, 3122.87
06/02/20, 3064.78, 3081.07, 3051.64, 3080.82
06/01/20, 3038.78, 3062.18, 3031.54, 3055.73
05/29/20, 3025.17, 3049.17, 2998.61, 3044.31
05/28/20, 3046.61, 3068.67, 3023.40, 3029.73
05/27/20, 3015.65, 3036.25, 2969.75, 3036.13
05/26/20, 3004.08, 3021.72, 2988.17, 2991.77
05/22/20, 2948.05, 2956.76, 2933.59, 2955.45
05/21/20, 2969.95, 2978.50, 2938.57, 2948.51
05/20/20, 2953.63, 2980.29, 2953.63, 2971.61
05/19/20, 2948.59, 2964.21, 2922.35, 2922.94
05/18/20, 2913.86, 2968.09, 2913.86, 2953.91
