TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TURNOVER,VOLATILITY
2019-07-25,40.51,45.46,37.74,38.1,0.14567308165575626,0.0
2019-07-26,37.75,40.5,37.26,38.12,0.025920165378746862,0.0005249464190204557
2019-07-29,38.84,42.0,38.22,41.63,0.013885908352611115,0.09155276172841065
2019-07-30,41.46,42.8,40.1,41.0,0.008961953044248658,0.10721105073573478
2019-07-31,41.11,45.68,41.11,44.25,0.02819904513461633,0.09440163527123058
2019-08-01,43.97,44.5,41.01,41.01,0.005187773785499828,0.1524886695974308
2019-08-02,41.01,41.01,36.67,37.49,0.012114977604961363,0.012612268467930988
2019-08-05,36.5,36.5,33.2,33.53,0.007913569916818427,0.019795594731633635
2019-08-06,34.16,35.97,31.6,33.15,0.00593985332480189,0.09429518710922914
2019-08-07,32.8,34.71,31.78,33.21,0.0053885908352611115,0.013142934025415385
2019-08-08,33.22,35.36,33.12,33.21,0.005617955406802186,0.0018098810205763782
2019-08-09,34.71,38.44,34.5,37.57,0.011359944873751046,0.1312857792998279
2019-08-12,37.57,38.97,35.51,36.94,0.005660284490820495,0.14805450629563957
2019-08-13,36.86,38.89,36.03,36.25,0.004646355268986563,0.001910175342049222
2019-08-14,36.0,36.08,32.51,33.92,0.008039572771570606,0.04559701024295885
2019-08-15,34.08,34.87,33.57,34.03,0.0025476202195205983,0.06751885527803506
2019-08-16,34.5,37.04,34.5,36.79,0.004004528227592657,0.0778620304216662
2019-08-19,37.7,38.98,34.31,36.5,0.008005118865974306,0.0889875745951151
2019-08-20,36.32,37.99,34.95,34.99,0.003776148053354334,0.033487215552074075
2019-08-21,35.25,36.96,34.5,34.95,0.004853078702564355,0.040226607150956106
2019-08-22,35.5,36.25,35.24,35.42,0.003456218929960132,0.014590917910142701
2019-08-23,35.5,35.97,34.37,34.64,0.0013683122508244328,0.03546913151159765
2019-08-26,34.88,35.5,31.34,31.34,0.014236353792390608,0.07324414508949775
2019-08-27,31.82,32.25,29.52,29.69,0.010366687995274893,0.04261720830995102
2019-08-28,30.99,31.5,29.8,30.04,0.007995274892946793,0.06443685386475187
