TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TURNOVER,VOLATILITY
2015-04-10,34.89,35.13,34.65,34.94,0.009049170477057847,0.0
2015-04-13,34.86,35.1,34.68,34.68,0.007077938539250941,0.007541749241899654
2015-04-14,34.84,35.02,34.28,34.49,0.01216445867407776,0.002222612932239132
2015-04-15,34.65,34.86,34.49,34.55,0.010793656754955073,0.006847256113427624
2015-04-16,34.26,34.44,33.86,34.04,0.013181293248331095,0.016021047029619817
2015-04-17,33.78,34.07,33.41,33.97,0.014066681063216502,0.01217071809502779
2015-04-20,34.18,34.65,34.12,34.28,0.010023284854516605,0.011631945981238291
2015-04-21,34.36,34.47,33.7,33.7,0.01164242725830227,0.02621995068472494
2015-04-22,33.78,34.12,33.54,34.04,0.00940783234904748,0.027074589071171884
2015-04-23,33.91,34.81,33.91,34.62,0.01925084736214521,0.006863568252739814
2015-04-24,31.78,32.23,29.83,31.59,0.07311632099298637,0.10454691366824477
2015-04-27,31.3,31.3,30.17,30.62,0.047673861811899684,0.056659809619693316
2015-04-28,30.46,30.96,29.99,30.91,0.02803947158402734,0.04032567814881296
2015-04-29,30.67,31.04,30.33,30.38,0.032544339808651075,0.026516926728423124
2015-04-30,30.46,30.46,29.72,30.3,0.03665252049161088,0.0144483923448842
2015-05-01,30.43,30.67,30.3,30.36,0.02783338184344691,0.0043411956199369975
2015-05-04,30.43,31.17,30.36,31.01,0.018962133944247797,0.019962189895242267
2015-05-05,30.99,31.25,30.25,30.43,0.0227834790201583,0.04039304666997292
2015-05-06,30.72,30.88,29.78,29.99,0.022000901349207094,0.003973347209676851
2015-05-07,30.14,30.38,29.75,29.83,0.025298806651206023,0.009445777491882652
2015-05-08,30.25,30.25,29.83,29.96,0.022001370801919124,0.009689599635968008
2015-05-11,29.93,30.09,29.46,29.62,0.03470804735838959,0.015850774193028317
2015-05-12,29.51,29.67,29.3,29.41,0.02993183546621349,0.004316317614958032
2015-05-13,29.46,29.78,29.43,29.62,0.016479668003042052,0.014285841040812701
2015-05-14,29.64,29.96,29.62,29.78,0.013575633526434882,0.0018302793157786508
2015-05-15,29.86,30.04,29.67,29.96,0.01192456833823129,0.0008565983704730368
2015-05-18,29.83,30.43,29.83,30.25,0.01149220239045321,0.0034797657773841524
2015-05-19,30.25,30.41,29.67,29.83,0.021974142544621482,0.02361181662042092
2015-05-20,29.96,30.41,29.86,30.2,0.012532979053019989,0.026304762321511164
2015-05-21,30.09,30.51,30.07,30.33,0.012033481367421859,0.008004375294651792
2015-05-22,30.25,30.33,30.07,30.14,0.012251307425802998,0.010444739228422668
2015-05-26,30.01,30.12,29.51,29.54,0.012202014891040025,0.014023392474230177
2015-05-27,29.72,30.17,29.64,30.12,0.017662219384641385,0.03973054971463565
2015-05-28,30.01,30.46,29.96,30.3,0.011384228266686697,0.0135014326167065
2015-05-29,30.25,30.3,29.86,30.09,0.01729792408010741,0.013080419704887773
2015-06-01,30.14,30.41,29.93,30.2,0.012169153201198043,0.010458850244093949
2015-06-02,30.22,30.43,30.09,30.25,0.011770118395973974,0.0017572528539919574
2015-06-03,30.3,30.62,30.25,30.38,0.011470138112987879,0.0026101619684300676
2015-06-04,30.25,30.41,29.67,29.8,0.014539889396941046,0.023436232999867336
2015-06-05,29.78,29.88,29.38,29.67,0.010845766005990217,0.014660093385135459
2015-06-08,29.64,29.78,29.09,29.12,0.014423465124358024,0.01422946534918262
2015-06-09,29.2,29.28,28.8,29.06,0.01496004957420639,0.016840265072667827
2015-06-10,29.22,29.86,29.14,29.67,0.012514200944538856,0.022662232619397517
2015-06-11,29.86,30.25,29.8,29.96,0.012715596157999005,0.011083126156560997
2015-06-12,29.8,29.93,29.35,29.43,0.011557456317425146,0.02735936824127286
2015-06-15,29.12,29.38,28.96,29.12,0.009884326851756223,0.006846982322398102
2015-06-16,29.12,29.25,28.96,29.09,0.016249636174148176,0.009838396646021558
2015-06-17,29.17,29.46,29.12,29.28,0.011133071065751546,0.007245299140536386
2015-06-18,29.35,29.62,29.25,29.35,0.011676697306280338,0.0036401805461591945
2015-06-19,29.3,29.51,29.06,29.22,0.024834517919010018,0.007188723980530708
2015-06-22,29.38,29.49,29.22,29.33,0.012848451275503018,0.008095370333306737
2015-06-23,29.46,29.7,29.33,29.64,0.01133305792107561,0.007174561560033476
2015-06-24,29.59,29.62,28.96,28.96,0.014708422920559213,0.03389244487216438
2015-06-25,29.04,29.22,28.96,29.01,0.018377195865060512,0.02493073971816298
2015-06-26,28.88,29.04,28.77,28.93,0.01553512914644108,0.0021325294684874947
2015-06-29,28.67,28.88,28.35,28.41,0.01686649703775339,0.017902187787218565
2015-06-30,28.56,28.72,28.04,28.04,0.01801571727679871,0.005227696611489819
2015-07-01,28.22,28.3,28.06,28.14,0.014955355047086108,0.016746667379968924
2015-07-02,28.3,28.3,27.51,27.83,0.02272996141098707,0.01499534778356475
2015-07-06,27.54,27.88,27.4,27.75,0.015673617696489433,0.008394938660579353
2015-07-07,27.43,27.96,27.33,27.88,0.02026627357826246,0.007589203626683889
2015-07-08,27.67,27.88,27.01,27.06,0.02323509252912954,0.03404871339798068
2015-07-09,27.43,27.62,26.98,26.98,0.03236172270367206,0.026379288064979828
2015-07-10,27.43,27.46,27.11,27.35,0.02202155726853634,0.016593012835214676
2015-07-13,27.48,27.69,27.38,27.64,0.017461293623893266,0.0030744537910054426
2015-07-14,27.64,27.8,27.59,27.75,0.014877425896889406,0.006784251169974813
2015-07-15,27.77,27.88,27.46,27.51,0.012617011088473058,0.012360273379092231
2015-07-16,27.67,28.09,27.64,27.96,0.02329893809796539,0.024830674911910957
2015-07-17,27.8,28.59,27.72,28.54,0.034182260320917875,0.004451703234322452
2015-07-20,28.67,28.99,28.46,28.75,0.03369966293295276,0.013348236317481766
2015-07-21,28.7,28.96,27.59,27.91,0.03831109692320692,0.03671803065563952
2015-07-22,27.88,28.3,27.83,28.19,0.020112293088717172,0.03971842613231482
2015-07-23,28.19,28.77,28.09,28.48,0.028197207695268855,0.00010718234879232657
2015-07-24,28.14,29.51,27.67,28.83,0.04966152459462758,0.0017457155518531189
2015-07-27,28.64,28.75,27.88,27.98,0.04015698498690227,0.04127652792441829
2015-07-28,28.09,28.25,27.64,28.09,0.02136244566084858,0.033017213124237464
2015-07-29,28.19,28.46,28.01,28.35,0.01712798219835316,0.005614232907416143
2015-07-30,28.27,28.41,28.06,28.38,0.01727585980264208,0.008451388243156133
2015-07-31,28.59,29.12,28.25,29.04,0.02791976114246012,0.022283130071468347
2015-08-03,29.09,29.12,28.72,28.83,0.027580346831663646,0.030472153306666326
2015-08-04,28.85,29.25,28.75,28.99,0.01948228754917517,0.012744107390995572
2015-08-05,29.2,29.41,28.96,28.96,0.019526416104105833,0.006393572913168549
2015-08-06,28.99,29.33,28.91,28.91,0.017047236331884288,0.0009108356377486987
2015-08-07,28.8,28.96,28.43,28.67,0.018764963805195902,0.006384377367339871
2015-08-10,28.88,29.83,28.83,29.7,0.016822837935534754,0.04404991161322737
2015-08-11,29.46,29.64,28.99,29.2,0.019470551231374464,0.052704768930455406
2015-08-12,28.99,29.17,28.56,29.01,0.016635995756147482,0.010541540022520569
2015-08-13,29.01,29.17,28.7,28.85,0.01171519242866666,0.0008678842498363326
2015-08-14,28.8,29.2,28.7,29.12,0.014674152872581146,0.014582003365528555
2015-08-17,29.09,30.17,28.96,29.96,0.022450167594618195,0.01982693544393958
2015-08-18,30.09,30.2,29.64,29.83,0.013664829541720262,0.033356721549414624
2015-08-19,29.72,29.86,29.46,29.62,0.017300271343667552,0.0026696403385128424
2015-08-20,29.35,29.59,29.01,29.06,0.02036438919507638,0.011616387369883857
2015-08-21,28.83,29.33,28.09,28.17,0.035008027641375686,0.012141328553919088
2015-08-24,26.46,27.35,25.72,26.17,0.056946022327170984,0.040269572427130494
2015-08-25,27.09,27.11,25.45,25.45,0.030053423718628822,0.0439038101610615
2015-08-26,26.09,26.32,25.35,26.25,0.026205789290844734,0.05824651945592309
2015-08-27,26.48,27.04,26.32,26.96,0.02754044335114124,0.003947515814300539
